iter	Passed	Remaining
432	1175	1539
433	1176	1534
434	1178	1530
435	1180	1526
436	1181	1522
437	1183	1518
438	1184	1513
439	1188	1512
440	1189	1508
441	1191	1504
442	1193	1500
443	1194	1496
444	1196	1492
445	1197	1487
446	1201	1486
447	1203	1482
448	1205	1478
449	1206	1474
450	1208	1470
451	1215	1474
452	1217	1470
453	1219	1467
454	1221	1463
455	1223	1459
456	1224	1455
457	1227	1452
458	1228	1448
459	1230	1444
460	1232	1440
461	1233	1436
462	1235	1432
463	1237	1429
464	1240	1426
465	1241	1423
466	1243	1419
467	1245	1415
468	1246	1411
469	1248	1407
470	1250	1404
471	1254	1403
472	1256	1399
473	1258	1396
474	1259	1392
475	1261	1388
476	1263	1385
477	1264	1381
478	1269	1380
479	1270	1376
480	1272	1373
481	1274	1369
482	1275	1365
483	1278	1363
484	1280	1359
485	1284	1359
486	1286	1355
487	1288	1351
488	1289	1347
489	1292	1344
490	1293	1341
491	1295	1337
492	1299	1336
493	1301	1333
494	1303	1329
495	1306	1327
496	1308	1324
497	1310	1320
498	1314	1319
499	1316	1316
500	1317	1312
501	1319	1309
502	1321	1305
503	1322	1301
504	1324	1298
505	1326	1294
506	1332	1295
507	1334	1292
508	1336	1289
509	1338	1285
510	1340	1282
511	1344	1281
512	1346	1278
513	1348	1275
514	1350	1271
515	1351	1267
516	1353	1264
517	1354	1260
518	1356	1257
519	1362	1257
520	1364	1254
521	1365	1250
522	1367	1247
523	1369	1243
524	1374	1243
525	1376	1239
526	1377	1236
527	1379	1232
528	1380	1229
529	1382	1225
530	1383	1222
531	1389	1222
532	1391	1218
533	1392	1215
534	1394	1211
535	1395	1208
536	1397	1204
537	1399	1201
538	1406	1202
539	1408	1199
540	1409	1196
541	1411	1192
542	1412	1189
543	1415	1186
544	1417	1183
545	1418	1179
546	1420	1176
547	1421	1172
548	1423	1169
549	1437	1176
550	1440	1173
551	1444	1172
552	1446	1169
553	1448	1165
554	1449	1162
555	1451	1159
556	1452	1155
557	1455	1153
558	1460	1152
559	1462	1149
560	1463	1145
561	1465	1142
562	1466	1138
563	1468	1135
564	1470	1131
565	1471	1128
566	1476	1127
567	1478	1124
568	1479	1120
569	1481	1117
570	1482	1113
571	1485	1111
572	1487	1108
573	1490	1105
574	1492	1103
575	1494	1100
576	1496	1097
577	1498	1094
578	1503	1093
579	1505	1090
580	1507	1087
581	1509	1084
582	1511	1081
583	1512	1077
584	1514	1074
585	1517	1071
586	1518	1068
587	1520	1065
588	1522	1062
589	1524	1059
590	1525	1055
591	1527	1052
592	1529	1049
593	1531	1046
594	1533	1043
595	1535	1040
596	1536	1037
597	1538	1034
598	1539	1030
599	1545	1030
600	1547	1027
601	1549	1024
602	1551	1021
603	1552	1017
604	1554	1014
605	1555	1011
606	1558	1008
607	1560	1006
608	1561	1002
609	1563	999
610	1565	996
611	1566	993
612	1568	989
613	1572	988
614	1579	988
615	1581	985
616	1583	982
617	1589	982
618	1591	979
619	1593	976
620	1595	973
621	1597	970
622	1598	967
623	1604	966
624	1606	963
625	1608	960
626	1609	957
627	1611	954
628	1613	951
629	1614	948
630	1620	947
631	1621	944
632	1623	941
633	1625	938
634	1626	934
635	1628	931
636	1629	928
637	1635	927
638	1636	924
639	1638	921
640	1640	918
641	1641	915
642	1643	912
643	1645	909
644	1650	908
645	1652	905
646	1653	902
647	1655	899
648	1656	896
649	1658	892
650	1660	890
651	1664	888
652	1666	885
653	1668	882
654	1669	879
655	1671	876
656	1673	873
657	1676	871
658	1682	870
659	1684	867
660	1685	864
661	1687	861
662	1688	858
663	1690	855
664	1694	853
665	1697	851
666	1698	848
667	1700	845
668	1702	842
669	1703	839
670	1705	836
671	1707	833
672	1712	832
673	1714	829
674	1715	826
675	1717	823
676	1719	820
677	1720	817
678	1722	814
679	1725	811
680	1726	808
681	1728	805
682	1730	803
683	1731	800
684	1733	797
685	1734	794
686	1739	792
687	1741	789
688	1743	787
689	1745	784
690	1746	781
691	1748	778
692	1750	775
693	1755	773
694	1756	770
695	1758	768
696	1760	765
697	1761	762
698	1763	759
699	1765	756
700	1769	754
701	1771	751
702	1774	749
703	1776	747
704	1778	744
705	1779	740
706	1780	738
707	1786	736
708	1788	734
709	1789	731
710	1791	728
711	1793	725
712	1794	722
713	1796	719
714	1801	718
715	1803	715
716	1805	712
717	1806	709
718	1808	706
719	1810	703
720	1811	701
721	1817	699
722	1820	697
723	1824	695
724	1829	693
725	1833	692
726	1835	689
727	1837	686
728	1839	683
729	1841	681
730	1847	679
731	1849	677
732	1851	674
733	1852	671
734	1854	668
735	1855	665
736	1857	662
737	1864	662
738	1866	659
739	1868	656
740	1869	653
741	1871	650
742	1872	647
743	1879	646
744	1882	644
745	1884	641
746	1886	639
747	1888	636
748	1899	636
749	1900	633
750	1902	630
751	1904	627
752	1909	626
753	1911	623
754	1912	620
755	1914	617
756	1915	615
757	1917	612
758	1919	609
759	1924	607
760	1926	604
761	1927	602
762	1929	599
763	1931	596
764	1932	593
765	1934	590
766	1939	589
767	1941	586
768	1942	583
769	1944	580
770	1946	578
771	1947	575
772	1949	572
773	1954	570
774	1956	567
775	1957	565
776	1959	562
777	1961	559
778	1962	556
779	1964	554
780	1968	551
781	1971	549
782	1972	546
783	1974	543
784	1975	541
785	1977	538
786	1979	535
787	1986	534
788	1989	532
789	1992	529
790	1993	526
791	1995	524
792	2000	522
793	2002	519
794	2003	516
795	2005	513
796	2006	511
797	2008	508
798	2010	505
799	2014	503
800	2017	501
801	2019	498
802	2020	495
803	2022	493
804	2024	490
805	2026	487
806	2030	485
807	2033	483
808	2035	480
809	2036	477
810	2038	475
811	2040	472
812	2042	469
813	2047	467
814	2048	465
815	2050	462
816	2052	459
817	2053	456
818	2055	454
819	2057	451
820	2062	449
821	2063	446
822	2065	444
823	2067	441
824	2069	438
825	2070	436
826	2072	433
827	2076	431
828	2078	428
829	2080	426
830	2083	423
831	2085	421
832	2087	418
833	2091	416
834	2093	413
835	2095	411
836	2097	408
837	2098	405
838	2100	403
839	2102	400
840	2103	397
841	2107	395
842	2108	392
843	2110	390
844	2112	387
845	2113	384
846	2115	382
847	2120	380
848	2122	377
849	2123	374
850	2125	372
851	2127	369
852	2128	366
853	2130	364
854	2133	361
855	2136	359
856	2138	356
857	2140	354
858	2141	351
859	2143	348
860	2144	346
861	2146	343
862	2151	341
863	2153	338
864	2154	336
865	2156	333
866	2157	331
867	2159	328
868	2161	325
869	2165	323
870	2167	320
871	2168	318
872	2170	315
873	2171	313
874	2173	310
875	2175	307
876	2176	305
877	2183	303
878	2185	300
879	2187	298
880	2188	295
881	2190	293
882	2192	290
883	2197	288
884	2199	285
885	2200	283
886	2202	280
887	2204	277
888	2205	275
889	2207	272
890	2212	270
891	2214	268
892	2216	265
893	2217	262
894	2219	260
895	2220	257
896	2222	255
897	2225	252
898	2227	250
899	2234	248
900	2236	245
901	2237	243
902	2239	240
903	2240	237
904	2247	235
905	2249	233
906	2251	230
907	2253	228
908	2254	225
909	2256	223
910	2262	221
911	2264	218
912	2266	215
913	2267	213
914	2269	210
915	2270	208
916	2274	205
917	2280	203
918	2282	201
919	2284	198
920	2287	196
921	2289	193
922	2293	191
923	2295	188
924	2297	186
925	2299	183
926	2304	181
927	2310	179
928	2312	176
929	2313	174
930	2315	171
931	2317	169
932	2318	166
933	2320	163
934	2324	161
935	2326	159
936	2328	156
937	2330	154
938	2332	151
939	2334	149
940	2341	146
941	2347	144
942	2350	142
943	2352	139
944	2356	137
945	2358	134
946	2360	132
947	2361	129
948	2367	127
949	2371	124
950	2373	122
951	2375	119
952	2378	117
953	2383	114
954	2385	112
955	2387	109
956	2388	107
957	2390	104
958	2392	102
959	2393	99
960	2400	97
961	2401	94
962	2403	92
963	2405	89
964	2406	87
965	2408	84
966	2411	82
967	2415	79
968	2416	77
969	2418	74
970	2420	72
971	2421	69
972	2423	67
973	2427	64
974	2430	62
975	2431	59
976	2433	57
977	2434	54
978	2436	52
979	2438	49
980	2439	47
981	2445	44
982	2446	42
983	2448	39
984	2449	37
985	2451	34
986	2452	32
987	2454	29
988	2459	27
989	2461	24
990	2462	22
991	2465	19
992	2467	17
993	2468	14
994	2474	12
995	2476	9
996	2478	7
997	2479	4
998	2481	2
999	2482	0
